0,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9
404,0.080887,0.10698,0.040117,0.040117,0.15917,0.18428,0.15623,0.14481,0.11676,0.075016,0.064905,0.044357,0.04077,0.039139,0.037182,0.036856,0.036204
405,0.082192,0.10828,0.04077,0.04077,0.16014,0.18558,0.15721,0.14547,0.11742,0.075342,0.064905,0.044357,0.04077,0.038813,0.037508,0.036856,0.036204
406,0.083496,0.10959,0.041422,0.041422,0.16112,0.18656,0.15819,0.14644,0.11774,0.075669,0.065232,0.044357,0.041096,0.039139,0.037508,0.037182,0.03653
407,0.084801,0.11089,0.041748,0.041748,0.16177,0.18754,0.15884,0.1471,0.1184,0.075995,0.065558,0.044684,0.041096,0.039465,0.037834,0.037182,0.036856
408,0.086106,0.11187,0.042401,0.042401,0.16275,0.18852,0.15949,0.14775,0.11905,0.076321,0.065884,0.04501,0.041422,0.039465,0.037834,0.037508,0.036856
409,0.08741,0.11318,0.042727,0.042727,0.16341,0.18917,0.16014,0.1484,0.1197,0.076647,0.06621,0.045336,0.041748,0.039791,0.038487,0.037834,0.037508
410,0.088715,0.11416,0.043379,0.043379,0.16406,0.18982,0.1608,0.14905,0.12003,0.076973,0.066536,0.045662,0.042074,0.040444,0.038813,0.038487,0.037834
411,0.09002,0.11513,0.044031,0.044031,0.16438,0.19048,0.16145,0.14938,0.12068,0.077626,0.066862,0.045988,0.042401,0.04077,0.039139,0.038813,0.03816
412,0.091324,0.11579,0.044357,0.044357,0.16471,0.19113,0.16177,0.15003,0.121,0.077952,0.067515,0.046641,0.043053,0.041096,0.039465,0.039465,0.038813
413,0.092303,0.11676,0.04501,0.04501,0.16504,0.19145,0.16243,0.15036,0.12166,0.078278,0.067841,0.046967,0.043379,0.041748,0.040117,0.039791,0.039139
414,0.093607,0.11742,0.045336,0.045336,0.16536,0.19178,0.16275,0.15068,0.12198,0.07893,0.068493,0.047619,0.044031,0.042074,0.04077,0.040444,0.039791
415,0.094586,0.11807,0.045988,0.045988,0.16569,0.19211,0.16308,0.15134,0.12231,0.079256,0.068819,0.047945,0.044357,0.042727,0.041096,0.04077,0.040444
416,0.095564,0.11905,0.046641,0.046641,0.16569,0.19243,0.16341,0.15166,0.12296,0.079909,0.069472,0.048598,0.04501,0.043379,0.041748,0.041422,0.04077
417,0.096869,0.1197,0.046967,0.046967,0.16569,0.19243,0.16373,0.15199,0.12329,0.080235,0.070124,0.04925,0.045662,0.043705,0.042401,0.042074,0.041422
418,0.098174,0.12068,0.047619,0.047619,0.16601,0.19276,0.16406,0.15232,0.12361,0.080887,0.07045,0.049576,0.046314,0.044357,0.043053,0.042727,0.042074
419,0.099478,0.12133,0.048271,0.048271,0.16601,0.19309,0.16438,0.15264,0.12394,0.081213,0.071102,0.050228,0.046967,0.04501,0.043705,0.043379,0.042727
420,0.10111,0.12264,0.048924,0.048924,0.16634,0.19341,0.16438,0.15297,0.12459,0.081866,0.071755,0.050881,0.047619,0.045662,0.044031,0.044031,0.043379
421,0.10274,0.12361,0.049576,0.049576,0.16667,0.19374,0.16504,0.15329,0.12492,0.082192,0.072407,0.051533,0.048271,0.046314,0.044684,0.044684,0.044031
422,0.10437,0.12459,0.050228,0.050228,0.16667,0.19374,0.16504,0.15362,0.12524,0.082844,0.072733,0.052185,0.048598,0.046967,0.045336,0.045336,0.044684
423,0.106,0.1259,0.050881,0.050881,0.16699,0.19406,0.16536,0.15395,0.12557,0.08317,0.073386,0.052838,0.04925,0.047619,0.045988,0.045988,0.045336
424,0.10796,0.1272,0.051533,0.051533,0.16732,0.19439,0.16569,0.15427,0.12622,0.083823,0.074038,0.05349,0.049902,0.048271,0.046641,0.046641,0.045988
425,0.10992,0.12851,0.052185,0.052185,0.16765,0.19472,0.16601,0.1546,0.12655,0.084149,0.07469,0.054142,0.050554,0.048924,0.047293,0.047293,0.046641
426,0.1122,0.13014,0.052838,0.052838,0.16797,0.19504,0.16634,0.15492,0.12688,0.084801,0.075016,0.054795,0.051207,0.04925,0.047945,0.047945,0.047293
427,0.11448,0.13177,0.053816,0.053816,0.1683,0.19569,0.16667,0.15525,0.12753,0.085453,0.075669,0.055447,0.051859,0.050228,0.048598,0.048598,0.047945
